Township,Region,Latitude,Longitude,Suitable Crops,Water Availability (L/day),Fertilizer Type,Average Market Price (MMK/kg)
Township_267,Mon,16.575482,97.535283,"Rubber, Cashew, Betel Nut",1532,Organic,1400 – 3900
Township_268,Ayeyarwady,17.618482,95.396283,"Rice, Chickpea, Sunflower",1252,Hybrid,700 – 2350
Township_269,Naypyidaw,19.766482,96.104283,"Vegetables, Mango, Paddy",1325,Chemical,1800 – 3150
Township_270,Shan,21.017482,97.030283,"Tea, Potato, Strawberry",1435,Organic,1600 – 4150
Township_271,Yangon,16.770482,96.161283,"Vegetables, Paddy, Lentil",1707,Chemical,1300 – 2900
Township_272,Tanintharyi,12.970482,99.867283,"Rubber, Durian, Oil Palm",1565,Organic,1500 – 3800
Township_273,Rakhine,20.383482,93.323283,"Rice, Chili, Areca Nut",1160,Hybrid,810 – 2750
Township_274,Chin,21.193482,93.574283,"Potato, Corn, Millet",1018,Organic,900 – 2450
Township_275,Ayeyarwady,17.495482,95.358283,"Chickpea, Rice, Sunflower",1267,Chemical,700 – 2300
Township_276,Bago,18.544482,96.270283,"Sugarcane, Rice, Maize",1350,Hybrid,1100 – 3200
Township_277,Magway,20.146482,94.923283,"Sesame, Beans, Groundnut",1078,Chemical,1150 – 3400
Township_278,Kayah,18.778482,97.510283,"Sesame, Groundnut, Rice",1353,Organic,1300 – 3550
Township_279,Kayin,16.876482,97.625283,"Banana, Cassava, Rice",1404,Chemical,900 – 2650
Township_280,Mon,16.583482,97.541283,"Cashew, Rubber, Betel Nut",1539,Organic,1500 – 3950
Township_281,Ayeyarwady,17.612482,95.416283,"Rice, Chickpea, Sunflower",1244,Hybrid,700 – 2300
Township_282,Naypyidaw,19.757482,96.092283,"Mango, Vegetables, Paddy",1319,Chemical,1750 – 3050
Township_283,Shan,21.008482,97.033283,"Tea, Potato, Strawberry",1431,Organic,1550 – 4050
Township_284,Yangon,16.775482,96.171283,"Paddy, Vegetables, Lentil",1709,Chemical,1250 – 2900
Township_285,Tanintharyi,12.964482,99.864283,"Oil Palm, Rubber, Durian",1590,Organic,1450 – 3750
Township_286,Rakhine,20.376482,93.331283,"Areca Nut, Chili, Rice",1181,Hybrid,825 – 2800
Township_287,Chin,21.168482,93.581283,"Millet, Potato, Corn",1075,Organic,955 – 2500
Township_288,Ayeyarwady,17.530482,95.371283,"Chickpea, Rice, Sunflower",1258,Chemical,700 – 2350
Township_289,Bago,18.613482,96.289283,"Maize, Rice, Sugarcane",1327,Hybrid,1150 – 3200
Township_290,Magway,20.175482,94.871283,"Beans, Sesame, Groundnut",1073,Chemical,1100 – 3350
Township_291,Kayah,18.772482,97.522283,"Groundnut, Rice, Sesame",1325,Organic,1350 – 3550
Township_292,Kayin,16.883482,97.639283,"Banana, Rice, Cassava",1415,Chemical,860 – 2750
Township_293,Mon,16.575482,97.535283,"Rubber, Cashew, Betel Nut",1532,Organic,1400 – 3900
Township_294,Ayeyarwady,17.619482,95.397283,"Rice, Chickpea, Sunflower",1254,Hybrid,700 – 2350
Township_295,Naypyidaw,19.766482,96.104283,"Vegetables, Mango, Paddy",1325,Chemical,1800 – 3150
Township_296,Shan,21.017482,97.030283,"Tea, Potato, Strawberry",1435,Organic,1600 – 4150
Township_297,Yangon,16.770482,96.161283,"Vegetables, Paddy, Lentil",1707,Chemical,1300 – 2900
Township_298,Tanintharyi,12.970482,99.867283,"Rubber, Durian, Oil Palm",1565,Organic,1500 – 3800
Township_299,Rakhine,20.383482,93.324283,"Rice, Chili, Areca Nut",1160,Hybrid,810 – 2750
Township_300,Chin,21.193482,93.574283,"Potato, Corn, Millet",1018,Organic,900 – 2450
Township_301,Ayeyarwady,17.495482,95.358283,"Chickpea, Rice, Sunflower",1267,Chemical,700 – 2300
Township_302,Bago,18.544482,96.270283,"Sugarcane, Rice, Maize",1350,Hybrid,1100 – 3200
Township_303,Magway,20.146482,94.923283,"Sesame, Beans, Groundnut",1078,Chemical,1150 – 3400
Township_304,Kayah,18.778482,97.510283,"Sesame, Groundnut, Rice",1353,Organic,1300 – 3550
Township_305,Kayin,16.876482,97.625283,"Banana, Cassava, Rice",1404,Chemical,900 – 2650
Township_306,Mon,16.583482,97.541283,"Cashew, Rubber, Betel Nut",1539,Organic,1500 – 3950
Township_307,Ayeyarwady,17.612482,95.416283,"Rice, Chickpea, Sunflower",1244,Hybrid,700 – 2300
Township_308,Naypyidaw,19.757482,96.092283,"Mango, Vegetables, Paddy",1319,Chemical,1750 – 3050
Township_309,Shan,21.008482,97.033283,"Tea, Potato, Strawberry",1431,Organic,1550 – 4050
Township_310,Yangon,16.775482,96.171283,"Paddy, Vegetables, Lentil",1709,Chemical,1250 – 2900
Township_311,Tanintharyi,12.964482,99.864283,"Oil Palm, Rubber, Durian",1590,Organic,1450 – 3750
Township_312,Rakhine,20.376482,93.331283,"Areca Nut, Chili, Rice",1181,Hybrid,825 – 2800
Township_313,Chin,21.168482,93.581283,"Millet, Potato, Corn",1075,Organic,955 – 2500
Township_314,Ayeyarwady,17.530482,95.371283,"Chickpea, Rice, Sunflower",1258,Chemical,700 – 2350
Township_315,Bago,18.613482,96.289283,"Maize, Rice, Sugarcane",1327,Hybrid,1150 – 3200
Township_316,Magway,20.175482,94.871283,"Beans, Sesame, Groundnut",1073,Chemical,1100 – 3350
Township_317,Kayah,18.772482,97.523283,"Groundnut, Rice, Sesame",1325,Organic,1350 – 3550
Township_318,Kayin,16.883482,97.640283,"Banana, Rice, Cassava",1415,Chemical,860 – 2750
Township_319,Mon,16.575482,97.535283,"Rubber, Cashew, Betel Nut",1532,Organic,1400 – 3900
Township_320,Ayeyarwady,17.619482,95.397283,"Rice, Chickpea, Sunflower",1254,Hybrid,700 – 2350
Township_321,Naypyidaw,19.766482,96.104283,"Vegetables, Mango, Paddy",1325,Chemical,1800 – 3150
Township_322,Shan,21.017482,97.030283,"Tea, Potato, Strawberry",1435,Organic,1600 – 4150
Township_323,Yangon,16.770482,96.161283,"Vegetables, Paddy, Lentil",1707,Chemical,1300 – 2900
Township_324,Tanintharyi,12.970482,99.867283,"Rubber, Durian, Oil Palm",1565,Organic,1500 – 3800
Township_325,Rakhine,20.383482,93.324283,"Rice, Chili, Areca Nut",1160,Hybrid,810 – 2750
Township_326,Chin,21.193482,93.574283,"Potato, Corn, Millet",1018,Organic,900 – 2450
Township_327,Ayeyarwady,17.495482,95.358283,"Chickpea, Rice, Sunflower",1267,Chemical,700 – 2300
Township_328,Mon,16.03592,97.69835,"Rubber, Cashew, Betel Nut",1553,Organic,1400 – 3900
Township_329,Ayeyarwady,17.135483,95.115839,"Chickpea, Rice, Sunflower",1263,Hybrid,700 – 2250
Township_330,Naypyidaw,19.271624,96.806348,"Vegetables, Paddy, Mango",1325,Chemical,1800 – 3100
Pyinmana,Naypyidaw,19.745,96.2083,"Rice, Sugarcane, Vegetables",1300,Organic,1700-3000
