CropName,KnownTownships,KnownRegions,Latitude,Longitude,BaseYieldKgPerSqm,AvgMarketPriceMMK,PlantingSeason,HarvestingSeason,PredictedYieldPerSqmKg,PredictedTotalYieldKg,PredictedRevenueMMK,PredictedWaterCostMMK,PredictedLaborCostMMK,PredictedFertilizerCostMMK,PredictedProfitMMK,PlantingRecommendation,PlantingRationale,CareInfo,MarketInfo,Summary,KnownTownships_lower,KnownRegions_lower
Mango,Naypyidaw,Naypyidaw,19.766492,96.100283,,2400.0,Not available,Not available,0.85,85.5,205200.0,40500.0,,,61456.07,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",naypyidaw,naypyidaw
Vegetables,Naypyidaw,Naypyidaw,19.766492,96.100283,,2400.0,Not available,Not available,1.07,106.87,256488.0,31500.0,,,130005.43,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Paddy,Naypyidaw,Naypyidaw,19.766492,96.100283,,2400.0,Not available,Not available,0.57,57.0,136800.0,67500.0,,,-11857.94,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Tea,Shan,Shan,21.016382,97.041928,,2800.0,Not available,Not available,0.36,35.62,99736.0,36000.0,,,-31604.04,Year-round in suitable climates (highland),Based on general regional suitability and crop timelines.,,,"Tea plants grow best in humid, highland areas with acidic soils. Regular pruning improves leaf quality.",shan,shan
Potato,Shan,Shan,21.016382,97.041928,,2800.0,Not available,Not available,0.36,35.62,99736.0,36000.0,,,-6725.89,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,shan,shan
Strawberry,Shan,Shan,21.016382,97.041928,,2800.0,Not available,Not available,1.42,142.5,399000.0,36000.0,,,188579.37,Cool-Dry Season (Oct - Nov),Based on general regional suitability and crop timelines.,,,"Strawberries need cool temperatures, rich soil, and regular irrigation. Mulch to retain moisture.",shan,shan
Paddy,Yangon,Yangon,16.784927,96.180382,,2075.0,Not available,Not available,0.57,57.0,118275.0,67500.0,,,-25266.55,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Vegetables,Yangon,Yangon,16.784927,96.180382,,2075.0,Not available,Not available,1.07,106.87,221755.25,31500.0,,,75670.46,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Lentil,Yangon,Yangon,16.784927,96.180382,,2075.0,Not available,Not available,0.29,28.5,59137.5,18000.0,,,-740.0,Sep - Nov,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Oil Palm,Tanintharyi,Tanintharyi,12.971483,99.871027,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-12704.36,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Rubber,Tanintharyi,Tanintharyi,12.971483,99.871027,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11513.32,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Durian,Tanintharyi,Tanintharyi,12.971483,99.871027,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-12347.52,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Areca Nut,Rakhine,Rakhine,20.38584,93.33849,,1812.5,Not available,Not available,0.36,35.62,64561.25,36000.0,,,-37548.92,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Chili,Rakhine,Rakhine,20.38584,93.33849,,1812.5,Not available,Not available,0.36,35.62,64561.25,36000.0,,,-30536.68,"Year-round, prefers warm and dry conditions",Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Rice,Rakhine,Rakhine,20.38584,93.33849,,1812.5,Not available,Not available,0.57,57.0,103312.5,67500.0,,,-40476.18,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,rakhine,rakhine
Millet,Chin,Chin,21.175483,93.589027,,1727.5,Not available,Not available,0.5,49.87,86150.42,22500.0,,,16970.99,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Potato,Chin,Chin,21.175483,93.589027,,1727.5,Not available,Not available,0.36,35.62,61533.55,36000.0,,,-40962.72,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Corn,Chin,Chin,21.175483,93.589027,,1727.5,Not available,Not available,0.71,71.25,123084.38,36000.0,,,18040.24,May - Jul,Based on general regional suitability and crop timelines.,,,"Corn is a high-yield cereal crop, adaptable to many climates. It thrives in well-drained soils and full sunlight.",chin,chin
Chickpea,Ayeyarwady,Ayeyarwady,17.538293,95.379472,,1525.0,Not available,Not available,0.36,35.62,54320.5,36000.0,,,-44038.23,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Rice,Ayeyarwady,Ayeyarwady,17.538293,95.379472,,1525.0,Not available,Not available,0.57,57.0,86925.0,67500.0,,,-58013.54,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.538293,95.379472,,1525.0,Not available,Not available,0.5,49.87,76051.75,31500.0,,,-11492.84,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Maize,Bago,Bago,18.630472,96.300284,,2175.0,Not available,Not available,0.71,71.25,154968.75,36000.0,,,46604.13,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,bago,bago
Rice,Bago,Bago,18.630472,96.300284,,2175.0,Not available,Not available,0.57,57.0,123975.0,67500.0,,,-23579.2,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,bago,bago
Sugarcane,Bago,Bago,18.630472,96.300284,,2175.0,Not available,Not available,5.7,570.0,1239750.0,54000.0,,,1009017.4,Jan - Apr,Based on general regional suitability and crop timelines.,,,"Sugarcane grows best in sunny, warm regions with fertile soils. Needs abundant water.",bago,bago
Beans,Magway,Magway,20.190283,94.880294,,2225.0,Not available,Not available,0.85,85.5,190237.5,27000.0,,,98534.3,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",magway,magway
Sesame,Magway,Magway,20.190283,94.880294,,2225.0,Not available,Not available,0.36,35.62,79254.5,36000.0,,,-21750.28,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",magway,magway
Groundnut,Magway,Magway,20.190283,94.880294,,2225.0,Not available,Not available,0.43,42.75,95118.75,22500.0,,,11899.63,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,magway,magway
Groundnut,Kayah,Kayah,18.781948,97.532748,,2450.0,Not available,Not available,0.43,42.75,104737.5,22500.0,,,23347.87,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,kayah,kayah
Rice,Kayah,Kayah,18.781948,97.532748,,2450.0,Not available,Not available,0.57,57.0,139650.0,67500.0,,,-10020.21,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayah,kayah
Sesame,Kayah,Kayah,18.781948,97.532748,,2450.0,Not available,Not available,0.36,35.62,87269.0,36000.0,,,-14305.4,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",kayah,kayah
Banana,Kayin,Kayin,16.892948,97.649284,,1805.0,Not available,Not available,2.14,213.75,385818.75,63000.0,,,177733.24,"Year-round, but best at the start of the monsoon",Based on general regional suitability and crop timelines.,,,"Bananas need rich, moist soils and frequent watering. Protect from wind and apply mulch.",kayin,kayin
Rice,Kayin,Kayin,16.892948,97.649284,,1805.0,Not available,Not available,0.57,57.0,102885.0,67500.0,,,-35612.17,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayin,kayin
Cassava,Kayin,Kayin,16.892948,97.649284,,1805.0,Not available,Not available,0.36,35.62,64294.1,36000.0,,,-38295.38,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,kayin,kayin
Rubber,Mon,Mon,16.585729,97.545839,,2675.0,Not available,Not available,0.36,35.62,95283.5,36000.0,,,-9113.26,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Cashew,Mon,Mon,16.585729,97.545839,,2675.0,Not available,Not available,0.36,35.62,95283.5,36000.0,,,-11085.72,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Betel Nut,Mon,Mon,16.585729,97.545839,,2675.0,Not available,Not available,0.36,35.62,95283.5,36000.0,,,-8584.71,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Rice,Ayeyarwady,Ayeyarwady,17.628394,95.406284,,1525.0,Not available,Not available,0.57,57.0,86925.0,67500.0,,,-56158.58,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Chickpea,Ayeyarwady,Ayeyarwady,17.628394,95.406284,,1525.0,Not available,Not available,0.36,35.62,54320.5,36000.0,,,-39632.05,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.628394,95.406284,,1525.0,Not available,Not available,0.5,49.87,76051.75,31500.0,,,-11701.68,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Vegetables,Naypyidaw,Naypyidaw,19.778384,96.114283,,2475.0,Not available,Not available,1.07,106.87,264503.25,31500.0,,,128996.17,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Mango,Naypyidaw,Naypyidaw,19.778384,96.114283,,2475.0,Not available,Not available,0.85,85.5,211612.5,40500.0,,,83111.38,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",naypyidaw,naypyidaw
Paddy,Naypyidaw,Naypyidaw,19.778384,96.114283,,2475.0,Not available,Not available,0.57,57.0,141075.0,67500.0,,,-9265.45,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Tea,Shan,Shan,21.029384,97.040293,,2875.0,Not available,Not available,0.36,35.62,102407.5,36000.0,,,-29871.47,Year-round in suitable climates (highland),Based on general regional suitability and crop timelines.,,,"Tea plants grow best in humid, highland areas with acidic soils. Regular pruning improves leaf quality.",shan,shan
Potato,Shan,Shan,21.029384,97.040293,,2875.0,Not available,Not available,0.36,35.62,102407.5,36000.0,,,-3801.39,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,shan,shan
Strawberry,Shan,Shan,21.029384,97.040293,,2875.0,Not available,Not available,1.42,142.5,409687.5,36000.0,,,223452.01,Cool-Dry Season (Oct - Nov),Based on general regional suitability and crop timelines.,,,"Strawberries need cool temperatures, rich soil, and regular irrigation. Mulch to retain moisture.",shan,shan
Vegetables,Yangon,Yangon,16.780482,96.172849,,2100.0,Not available,Not available,1.07,106.87,224427.0,31500.0,,,95080.91,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Paddy,Yangon,Yangon,16.780482,96.172849,,2100.0,Not available,Not available,0.57,57.0,119700.0,67500.0,,,-26057.74,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Lentil,Yangon,Yangon,16.780482,96.172849,,2100.0,Not available,Not available,0.29,28.5,59850.0,18000.0,,,-108.77,Sep - Nov,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Rubber,Tanintharyi,Tanintharyi,12.981482,99.876283,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-10145.67,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Durian,Tanintharyi,Tanintharyi,12.981482,99.876283,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-10001.32,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Oil Palm,Tanintharyi,Tanintharyi,12.981482,99.876283,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-9933.96,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Rice,Rakhine,Rakhine,20.398482,93.332849,,1780.0,Not available,Not available,0.57,57.0,101460.0,67500.0,,,-36488.38,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,rakhine,rakhine
Chili,Rakhine,Rakhine,20.398482,93.332849,,1780.0,Not available,Not available,0.36,35.62,63403.6,36000.0,,,-36496.28,"Year-round, prefers warm and dry conditions",Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Areca Nut,Rakhine,Rakhine,20.398482,93.332849,,1780.0,Not available,Not available,0.36,35.62,63403.6,36000.0,,,-35026.88,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Potato,Chin,Chin,21.205482,93.585849,,1675.0,Not available,Not available,0.36,35.62,59663.5,36000.0,,,-37725.77,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Corn,Chin,Chin,21.205482,93.585849,,1675.0,Not available,Not available,0.71,71.25,119343.75,36000.0,,,12817.35,May - Jul,Based on general regional suitability and crop timelines.,,,"Corn is a high-yield cereal crop, adaptable to many climates. It thrives in well-drained soils and full sunlight.",chin,chin
Millet,Chin,Chin,21.205482,93.585849,,1675.0,Not available,Not available,0.5,49.87,83532.25,22500.0,,,13101.24,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Chickpea,Ayeyarwady,Ayeyarwady,17.505482,95.369283,,1500.0,Not available,Not available,0.36,35.62,53430.0,36000.0,,,-47338.99,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Rice,Ayeyarwady,Ayeyarwady,17.505482,95.369283,,1500.0,Not available,Not available,0.57,57.0,85500.0,67500.0,,,-52657.7,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.505482,95.369283,,1500.0,Not available,Not available,0.5,49.87,74805.0,31500.0,,,-13114.36,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Sugarcane,Bago,Bago,18.559482,96.279283,,2150.0,Not available,Not available,5.7,570.0,1225500.0,54000.0,,,763615.96,Jan - Apr,Based on general regional suitability and crop timelines.,,,"Sugarcane grows best in sunny, warm regions with fertile soils. Needs abundant water.",bago,bago
Rice,Bago,Bago,18.559482,96.279283,,2150.0,Not available,Not available,0.57,57.0,122550.0,67500.0,,,-20885.21,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,bago,bago
Maize,Bago,Bago,18.559482,96.279283,,2150.0,Not available,Not available,0.71,71.25,153187.5,36000.0,,,40904.32,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,bago,bago
Sesame,Magway,Magway,20.157482,94.932849,,2275.0,Not available,Not available,0.36,35.62,81035.5,36000.0,,,-23899.57,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",magway,magway
Beans,Magway,Magway,20.157482,94.932849,,2275.0,Not available,Not available,0.85,85.5,194512.5,27000.0,,,83443.99,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",magway,magway
Groundnut,Magway,Magway,20.157482,94.932849,,2275.0,Not available,Not available,0.43,42.75,97256.25,22500.0,,,13051.11,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,magway,magway
Sesame,Kayah,Kayah,18.792482,97.519283,,2425.0,Not available,Not available,0.36,35.62,86378.5,36000.0,,,-16521.55,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",kayah,kayah
Groundnut,Kayah,Kayah,18.792482,97.519283,,2425.0,Not available,Not available,0.43,42.75,103668.75,22500.0,,,21739.11,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,kayah,kayah
Rice,Kayah,Kayah,18.792482,97.519283,,2425.0,Not available,Not available,0.57,57.0,138225.0,67500.0,,,-13657.12,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayah,kayah
Banana,Kayin,Kayin,16.884482,97.635849,,1775.0,Not available,Not available,2.14,213.75,379406.25,63000.0,,,193431.06,"Year-round, but best at the start of the monsoon",Based on general regional suitability and crop timelines.,,,"Bananas need rich, moist soils and frequent watering. Protect from wind and apply mulch.",kayin,kayin
Cassava,Kayin,Kayin,16.884482,97.635849,,1775.0,Not available,Not available,0.36,35.62,63225.5,36000.0,,,-31106.78,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,kayin,kayin
Rice,Kayin,Kayin,16.884482,97.635849,,1775.0,Not available,Not available,0.57,57.0,101175.0,67500.0,,,-37030.4,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayin,kayin
Cashew,Mon,Mon,16.591482,97.549283,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-8238.25,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Rubber,Mon,Mon,16.591482,97.549283,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-7833.95,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Betel Nut,Mon,Mon,16.591482,97.549283,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-8318.35,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Rice,Ayeyarwady,Ayeyarwady,17.621482,95.424283,,1500.0,Not available,Not available,0.57,57.0,85500.0,67500.0,,,-52722.46,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Chickpea,Ayeyarwady,Ayeyarwady,17.621482,95.424283,,1500.0,Not available,Not available,0.36,35.62,53430.0,36000.0,,,-38612.05,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.621482,95.424283,,1500.0,Not available,Not available,0.5,49.87,74805.0,31500.0,,,-11962.0,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Mango,Naypyidaw,Naypyidaw,19.767482,96.101283,,2400.0,Not available,Not available,0.85,85.5,205200.0,40500.0,,,75428.14,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",naypyidaw,naypyidaw
Vegetables,Naypyidaw,Naypyidaw,19.767482,96.101283,,2400.0,Not available,Not available,1.07,106.87,256488.0,31500.0,,,105281.97,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Paddy,Naypyidaw,Naypyidaw,19.767482,96.101283,,2400.0,Not available,Not available,0.57,57.0,136800.0,67500.0,,,-14298.3,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Tea,Shan,Shan,21.017482,97.042849,,2800.0,Not available,Not available,0.36,35.62,99736.0,36000.0,,,-32064.43,Year-round in suitable climates (highland),Based on general regional suitability and crop timelines.,,,"Tea plants grow best in humid, highland areas with acidic soils. Regular pruning improves leaf quality.",shan,shan
Potato,Shan,Shan,21.017482,97.042849,,2800.0,Not available,Not available,0.36,35.62,99736.0,36000.0,,,-6528.36,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,shan,shan
Strawberry,Shan,Shan,21.017482,97.042849,,2800.0,Not available,Not available,1.42,142.5,399000.0,36000.0,,,161677.29,Cool-Dry Season (Oct - Nov),Based on general regional suitability and crop timelines.,,,"Strawberries need cool temperatures, rich soil, and regular irrigation. Mulch to retain moisture.",shan,shan
Paddy,Yangon,Yangon,16.785482,96.179283,,2075.0,Not available,Not available,0.57,57.0,118275.0,67500.0,,,-25967.55,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Vegetables,Yangon,Yangon,16.785482,96.179283,,2075.0,Not available,Not available,1.07,106.87,221755.25,31500.0,,,79820.86,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Lentil,Yangon,Yangon,16.785482,96.179283,,2075.0,Not available,Not available,0.29,28.5,59137.5,18000.0,,,-753.98,Sep - Nov,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Oil Palm,Tanintharyi,Tanintharyi,12.972482,99.872283,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11992.66,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Rubber,Tanintharyi,Tanintharyi,12.972482,99.872283,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11042.93,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Durian,Tanintharyi,Tanintharyi,12.972482,99.872283,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11570.43,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Areca Nut,Rakhine,Rakhine,20.387482,93.339283,,1812.5,Not available,Not available,0.36,35.62,64561.25,36000.0,,,-34593.12,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Chili,Rakhine,Rakhine,20.387482,93.339283,,1812.5,Not available,Not available,0.36,35.62,64561.25,36000.0,,,-39103.28,"Year-round, prefers warm and dry conditions",Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Rice,Rakhine,Rakhine,20.387482,93.339283,,1812.5,Not available,Not available,0.57,57.0,103312.5,67500.0,,,-37296.11,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,rakhine,rakhine
Millet,Chin,Chin,21.177482,93.588283,,1727.5,Not available,Not available,0.5,49.87,86150.42,22500.0,,,18174.55,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Potato,Chin,Chin,21.177482,93.588283,,1727.5,Not available,Not available,0.36,35.62,61533.55,36000.0,,,-41241.38,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Corn,Chin,Chin,21.177482,93.588283,,1727.5,Not available,Not available,0.71,71.25,123084.38,36000.0,,,15897.55,May - Jul,Based on general regional suitability and crop timelines.,,,"Corn is a high-yield cereal crop, adaptable to many climates. It thrives in well-drained soils and full sunlight.",chin,chin
Chickpea,Ayeyarwady,Ayeyarwady,17.537482,95.378283,,1525.0,Not available,Not available,0.36,35.62,54320.5,36000.0,,,-38629.21,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Rice,Ayeyarwady,Ayeyarwady,17.537482,95.378283,,1525.0,Not available,Not available,0.57,57.0,86925.0,67500.0,,,-46958.36,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
